Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
584,,,,,,,, # System startup - Hand Controller initialized
24796,,,,,,,, # Flight started - Loop timestamp zero point set
0,131,0,0,0,131,0,-0.05030,0.02156,9.96807,-0.67939,-0.19847,-0.38931
111,131,0,0,0,131,0,-0.01916,0.04790,9.98244,-0.76336,-0.35115,-0.38168
232,131,0,0,0,131,0,-0.02635,0.01437,9.96089,-0.74046,-0.34351,-0.26718
352,131,0,0,0,131,0,-0.09101,0.00958,9.97286,-0.68702,-0.41221,-0.38931
473,131,0,0,0,131,0,-0.03353,0.07185,9.94891,-0.64122,-0.29771,-0.41985
593,131,0,0,0,131,0,-0.02874,0.06706,9.95131,-0.78626,-0.38931,-0.24427
714,131,0,0,0,131,0,-0.09580,0.02635,9.96328,-0.64122,-0.17557,-0.39695
835,131,0,0,0,131,0,-0.06706,0.01916,9.97765,-0.87023,-0.45802,-0.55725
955,131,0,0,0,131,0,-0.02156,0.04311,9.95131,-0.67176,-0.46565,-0.27481
1076,131,0,0,0,131,0,-0.07664,0.02874,9.95370,-0.70229,-0.29771,-0.39695
1196,131,0,0,0,131,0,-0.05030,0.01437,9.96328,-0.77863,-0.34351,-0.41985
1317,131,0,0,0,131,0,-0.05269,0.02635,9.97526,-0.55725,-0.38931,-0.28244
1437,131,0,0,0,131,0,-0.05748,0.02395,9.97047,-0.57252,-0.25191,-0.28244
1558,131,0,0,0,131,0,-0.04551,0.03353,9.95370,-0.64122,-0.35878,-0.40458
1678,131,0,0,0,131,0,-0.05030,0.02156,9.95849,-0.74046,-0.33588,-0.34351
1799,131,0,0,0,131,0,-0.05748,0.02635,9.96328,-0.69466,-0.48092,-0.25191
1919,131,0,0,0,131,0,-0.05748,0.05269,9.95849,-0.72519,-0.27481,-0.39695
2040,131,0,0,0,131,0,-0.03114,0.03114,9.97286,-0.79389,-0.32824,-0.38931
2160,131,0,0,0,131,0,-0.08622,0.02635,9.96328,-0.63359,-0.45038,-0.30534
2281,131,0,0,0,131,0,-0.05988,0.04790,9.95610,-0.70229,-0.46565,-0.32824
2402,131,0,0,0,131,0,-0.05748,0.01677,9.94652,-0.67939,-0.34351,-0.43511
2522,131,0,0,0,131,0,-0.07185,0.01437,9.96089,-0.63359,-0.40458,-0.35878
2643,131,0,0,0,131,0,-0.04551,0.02874,9.96089,-0.67939,-0.35115,-0.31298
2763,131,0,0,0,131,0,-0.06706,0.04311,9.96568,-0.84733,-0.27481,-0.19847
2884,131,0,0,0,131,0,-0.05748,0.01677,9.97047,-0.68702,-0.31298,-0.29771
3004,131,0,0,0,131,0,-0.02395,0.03832,9.96807,-0.64885,-0.35115,-0.25954
3125,131,0,0,0,131,0,-0.05988,0.02635,9.93933,-0.63359,-0.29771,-0.29771
3245,131,0,0,0,131,0,-0.04072,0.06706,9.95849,-0.74809,-0.31298,-0.24427
3366,131,0,0,0,131,0,-0.05748,0.06467,9.96568,-0.81679,-0.40458,-0.33588
3486,131,0,0,0,131,0,-0.04551,0.03593,9.95849,-0.71756,-0.35115,-0.27481
3607,131,0,0,0,131,0,-0.02635,0.02874,9.97526,-0.74809,-0.37405,-0.43511
3727,131,0,0,0,131,0,-0.04551,0.01437,9.96328,-0.66412,-0.25191,-0.28244
3848,131,0,0,0,131,0,-0.05269,0.02635,9.97286,-0.70229,-0.34351,-0.25954
3969,131,0,0,0,131,0,-0.04790,0.05988,9.97765,-0.61832,-0.34351,-0.38168
4089,131,0,0,0,131,0,-0.03593,0.03114,9.96328,-0.74046,-0.46565,-0.43511
4210,131,0,0,0,131,0,-0.05988,0.01437,9.95610,-0.79389,-0.34351,-0.29771
4330,131,0,0,0,131,0,-0.05748,0.03593,9.96807,-0.61069,-0.30534,-0.45038
4451,131,0,0,0,131,0,-0.04551,0.04790,9.96328,-0.61832,-0.27481,-0.32824
4571,131,0,0,0,131,0,-0.07904,0.03832,9.94891,-0.70992,-0.46565,-0.35115
4692,131,0,0,0,131,0,-0.07425,0.02156,9.95131,-0.54198,-0.39695,-0.45038
4812,131,0,0,0,131,0,-0.04072,0.03832,9.93694,-0.72519,-0.34351,-0.41985
4933,131,0,0,0,131,0,-0.07185,0.03353,9.95370,-0.63359,-0.39695,-0.23664
5053,131,0,0,0,131,0,-0.07185,0.02156,9.96807,-0.66412,-0.29008,-0.38168
5174,131,0,0,0,131,0,0.00000,0.03353,9.97286,-0.64122,-0.28244,-0.18321
5295,131,0,0,0,131,0,-0.00958,0.02635,9.96089,-0.73282,-0.44275,-0.35115
5415,131,0,0,0,131,0,-0.07425,0.04072,9.98005,-0.81679,-0.38931,-0.31298
5536,131,0,0,0,131,0,-0.02874,0.04790,9.94891,-0.81679,-0.25954,-0.41985
5656,131,0,0,0,131,0,-0.02874,0.04072,9.96568,-0.61069,-0.29771,-0.34351
5777,131,0,0,0,131,0,-0.05269,0.03114,9.97765,-0.72519,-0.36641,-0.46565
5897,131,0,0,0,131,0,-0.05509,0.05269,9.93933,-0.72519,-0.31298,-0.39695
6018,131,0,0,0,131,0,-0.05509,0.01437,9.94173,-0.71756,-0.30534,-0.29771
6138,131,0,0,0,131,0,-0.05748,0.02635,9.92257,-0.62595,-0.27481,-0.39695
6259,131,0,0,0,131,0,-0.05988,0.05269,9.93933,-0.80916,-0.37405,-0.33588
6379,131,0,0,0,131,0,-0.08622,0.02395,9.95849,-0.77863,-0.38168,-0.32061
6500,131,0,0,0,131,0,-0.04072,0.04790,9.98484,-0.85496,-0.22137,-0.35878
6620,131,0,0,0,131,0,-0.04311,0.03114,9.96089,-0.71756,-0.30534,-0.30534
6741,131,0,0,0,131,0,-0.08622,0.02635,9.99202,-0.67176,-0.27481,-0.41221
6862,131,0,0,0,131,0,-0.03353,0.06706,9.94891,-0.76336,-0.38168,-0.32824
6982,131,0,0,0,131,0,-0.02635,0.04551,9.95849,-0.66412,-0.20611,-0.24427
7103,131,0,0,0,131,0,-0.05030,0.01677,9.97286,-0.63359,-0.30534,-0.29008
7223,131,0,0,0,131,0,-0.02395,0.04551,9.93215,-0.77099,-0.35115,-0.45038
7344,131,0,0,0,131,0,-0.05269,0.05748,9.94173,-0.83206,-0.31298,-0.30534
7464,131,0,0,0,131,0,-0.06706,0.04551,9.95370,-0.64885,-0.45038,-0.25954
7585,131,0,0,0,131,0,-0.05030,0.07425,9.99442,-0.83969,-0.46565,-0.28244
7705,131,0,0,0,131,0,-0.05269,0.04072,9.94891,-0.59542,-0.33588,-0.35115
7826,131,0,0,0,131,0,-0.06227,0.00479,9.93215,-0.73282,-0.31298,-0.20611
7946,131,0,0,0,131,0,-0.01437,0.03353,9.97526,-0.61832,-0.38168,-0.16031
8067,131,0,0,0,131,0,-0.04551,0.04311,9.96328,-0.74809,-0.24427,-0.29771
8187,131,0,0,0,131,0,-0.07185,0.00719,9.95131,-0.65649,-0.45802,-0.66412
8308,131,0,0,0,131,0,-0.04072,0.00240,9.96328,-0.75573,-0.35115,-0.52672
8429,131,0,0,0,131,0,-0.04790,0.05269,9.96807,-0.69466,-0.39695,-0.43511
8549,131,0,0,0,131,0,-0.02635,0.04072,9.98005,-0.74809,-0.45038,-0.14504
8670,131,0,0,0,131,0,-0.02635,0.03114,9.96089,-0.74046,-0.32824,-0.09924
8790,131,0,0,0,131,0,-0.08862,0.04790,9.95610,-0.76336,-0.35115,-0.32061
8911,131,0,0,0,131,0,-0.04072,0.02395,9.96089,-0.66412,-0.48855,-0.25191
9031,131,0,0,0,131,0,-0.03353,0.02874,9.97526,-0.72519,-0.26718,-0.22137
9152,131,0,0,0,131,0,-0.06467,0.04551,9.96807,-0.61832,-0.31298,-0.50382
9272,131,0,0,0,131,0,0.01677,0.04790,9.95849,-0.72519,-0.40458,-0.29008
9393,131,0,0,0,131,0,-0.06227,0.04790,9.97286,-0.77863,-0.35115,-0.14504
9513,131,0,0,0,131,0,-0.11017,0.04790,9.96328,-0.64122,-0.24427,-0.29771
9634,131,0,0,0,131,0,-0.05748,0.06227,9.96328,-0.64122,-0.32061,-0.42748
9754,131,0,0,0,131,0,-0.01437,0.05509,9.95131,-0.73282,-0.50382,-0.22901
9875,131,0,0,0,131,0,-0.08143,0.06467,9.94891,-0.65649,-0.54198,-0.30534
9996,131,0,0,0,131,0,-0.02395,0.03353,9.97765,-0.77099,-0.28244,-0.23664
10116,131,0,0,0,131,0,-0.00479,0.04551,9.97526,-0.74046,-0.38931,-0.29008
10237,131,0,0,0,131,0,-0.06706,0.03353,9.96089,-0.68702,-0.38168,-0.56489
10357,131,0,0,0,131,0,-0.00479,0.03353,9.98963,-0.77863,-0.27481,-0.43511
10478,131,0,0,0,131,0,-0.01916,0.05030,9.95131,-0.66412,-0.27481,-0.22137
10598,131,0,0,0,131,0,-0.06946,0.05748,9.97286,-0.82443,-0.37405,-0.31298
10719,131,0,0,0,131,0,-0.06467,0.02874,9.95610,-0.74809,-0.35115,-0.53435
10839,131,0,0,0,131,0,0.00240,0.02874,9.95610,-0.63359,-0.32061,-0.37405
10960,131,0,0,0,131,0,-0.11017,0.01437,9.96568,-0.63359,-0.44275,-0.33588
11080,131,0,0,0,131,0,-0.04311,-0.00958,9.95370,-0.62595,-0.34351,-0.49618
11201,131,0,0,0,131,0,-0.03114,0.00240,9.96807,-0.61069,-0.25954,-0.45802
11322,131,0,0,0,131,0,-0.06467,0.01916,9.96328,-0.69466,-0.26718,-0.25191
11442,131,0,0,0,131,0,-0.08143,0.03353,9.96807,-0.73282,-0.30534,-0.34351
11563,131,0,0,0,131,0,-0.01198,0.03114,9.97286,-0.71756,-0.22137,-0.41985
11683,131,0,0,0,131,0,-0.07185,0.02874,9.96807,-0.67939,-0.31298,-0.19847
11804,131,0,0,0,131,0,-0.06706,0.03593,9.96328,-0.61069,-0.32061,-0.41221
11924,131,0,0,0,131,0,-0.03114,0.02395,9.94891,-0.66412,-0.32061,-0.48855
12045,131,0,0,0,131,0,-0.06706,0.05748,9.93454,-0.67176,-0.25191,-0.36641
12165,131,0,0,0,131,0,-0.05269,0.02635,9.93215,-0.56489,-0.25954,-0.38168
12286,131,0,0,0,131,0,-0.01916,0.00479,9.96089,-0.70992,-0.45038,-0.35878
12406,131,0,0,0,131,0,-0.09580,0.01677,9.94652,-0.72519,-0.33588,-0.38931
12527,131,0,0,0,131,0,-0.03593,0.04790,9.93933,-0.61832,-0.29771,-0.37405
12647,131,0,0,0,131,0,-0.02874,0.03593,9.95131,-0.51145,-0.48092,-0.53435
12768,131,0,0,0,131,0,-0.04790,0.01198,9.94173,-0.74809,-0.25191,-0.22137
12889,131,0,0,0,131,0,-0.06467,-0.00479,9.96328,-0.65649,-0.33588,-0.33588
13009,131,0,0,0,131,0,-0.02395,0.05269,9.97765,-0.63359,-0.36641,-0.39695
13130,131,0,0,0,131,0,-0.04311,0.04311,9.96089,-0.70992,-0.40458,-0.27481
13250,131,0,0,0,131,0,-0.03832,0.04072,9.95849,-0.67176,-0.31298,-0.35115
13371,131,0,0,0,131,0,-0.06227,0.01198,9.93933,-0.55725,-0.35878,-0.30534
13491,131,0,0,0,131,0,-0.03114,0.04072,9.93694,-0.75573,-0.33588,-0.34351
13612,131,0,0,0,131,0,-0.06227,0.06706,9.97047,-0.59542,-0.30534,-0.29008
13732,131,0,0,0,131,0,-0.04551,0.02635,9.97047,-0.76336,-0.45802,-0.45038
13853,131,0,0,0,131,0,-0.01437,0.02635,9.96807,-0.67939,-0.22901,-0.29771
13973,131,0,0,0,131,0,-0.10778,0.01437,9.93215,-0.67939,-0.41985,-0.32061
14094,131,0,0,0,131,0,0.00240,0.04072,9.96568,-0.74046,-0.27481,-0.56489
14214,131,0,0,0,131,0,-0.02874,0.07664,9.93933,-0.83969,-0.32061,-0.02290
14335,131,0,0,0,131,0,-0.11975,0.09341,9.96568,-0.69466,-0.19084,-0.06870
14456,131,0,0,0,131,0,-0.06467,0.05748,9.96568,-0.77099,-0.25954,-0.38931
14576,131,0,0,0,131,0,0.02874,0.03593,9.95131,-0.66412,-0.32824,-0.09160
14697,131,0,0,0,131,0,-0.20358,0.01677,9.97286,-0.74046,-0.35115,-0.13740
14817,131,0,0,0,131,0,-0.06946,-0.00719,9.97047,-0.56489,-0.27481,-0.58779
14938,131,0,0,0,131,0,0.00958,-0.00958,9.94891,-0.70229,-0.41221,-0.29771
15058,131,0,0,0,131,0,-0.11975,0.06467,9.97765,-0.66412,-0.54198,-0.22137
15179,131,0,0,0,131,0,-0.04311,0.07185,9.96328,-0.60305,-0.40458,-0.49618
15299,131,0,0,0,131,0,0.03593,0.02635,9.95849,-0.65649,-0.28244,-0.23664
15420,131,0,0,0,131,0,-0.15328,0.02395,9.96568,-0.65649,-0.22901,-0.27481
15540,131,0,0,0,131,0,0.00479,0.06467,9.97765,-0.71756,-0.42748,-0.56489
15661,131,0,0,0,131,0,-0.01916,0.03832,9.97526,-0.59542,-0.52672,-0.19847
15782,131,0,0,0,131,0,-0.13652,0.07904,9.95131,-0.80153,-0.46565,-0.41221
15902,131,0,0,0,131,0,0.00479,0.03832,9.97286,-0.65649,-0.37405,-0.60305
16023,131,0,0,0,131,0,-0.01677,0.06946,9.96807,-0.70229,-0.19847,-0.13740
16143,131,0,0,0,131,0,-0.12215,0.07425,9.96807,-0.58779,-0.29008,-0.38168
16264,131,0,0,0,131,0,-0.03353,0.02874,9.95849,-0.80153,-0.40458,-0.37405
16384,131,0,0,0,131,0,-0.01916,0.04311,9.96568,-0.64122,-0.26718,-0.31298
16505,131,0,0,0,131,0,-0.08383,0.03114,9.96328,-0.70992,-0.48092,-0.27481
16625,131,0,0,0,131,0,-0.03114,0.03114,9.95849,-0.83206,-0.45038,-0.54198
16746,131,0,0,0,131,0,-0.07185,0.03593,9.96807,-0.68702,-0.46565,-0.27481
16866,131,0,0,0,131,0,-0.07904,0.02635,9.97765,-0.70229,-0.36641,-0.51145
16987,131,0,0,0,131,0,-0.03114,0.05030,9.96328,-0.76336,-0.29771,-0.35115
17107,131,0,0,0,131,0,-0.07904,0.01677,9.97047,-0.70992,-0.35115,-0.38931
17228,131,0,0,0,131,0,-0.09101,0.04311,9.94412,-0.58015,-0.31298,-0.47328
17349,131,0,0,0,131,0,-0.05269,0.03114,9.96328,-0.63359,-0.42748,-0.33588
17469,131,0,0,0,131,0,-0.05748,0.05509,9.92975,-0.74046,-0.35878,-0.29771
17590,131,0,0,0,131,0,-0.08862,0.05030,9.92975,-0.67176,-0.23664,-0.37405
17710,131,0,0,0,131,0,-0.02874,0.05269,9.97526,-0.59542,-0.35878,-0.48855
17831,131,0,0,0,131,0,-0.05988,0.03114,9.94652,-0.77099,-0.38168,-0.37405
17951,131,0,0,0,131,0,-0.07904,0.02395,9.94173,-0.64122,-0.36641,-0.36641
18072,131,0,0,0,131,0,-0.03114,0.05269,9.97286,-0.69466,-0.38168,-0.47328
18192,131,0,0,0,131,0,-0.07185,0.06946,9.96328,-0.84733,-0.41985,-0.27481
18313,131,0,0,0,131,0,-0.08143,0.04072,9.95370,-0.77099,-0.47328,-0.48092
18433,131,0,0,0,131,0,0.00719,0.01677,9.97526,-0.75573,-0.29771,-0.37405
18554,131,0,0,0,131,0,-0.04311,0.03353,9.97526,-0.74046,-0.35878,-0.23664
18674,131,0,0,0,131,0,-0.07185,0.08143,9.95131,-0.65649,-0.22137,-0.43511
18795,131,0,0,0,131,0,-0.02635,0.04072,9.95131,-0.67939,-0.38168,-0.34351
18916,131,0,0,0,131,0,-0.07664,-0.00479,9.95131,-0.73282,-0.46565,-0.32824
19036,131,0,0,0,131,0,-0.07425,0.02635,9.96568,-0.78626,-0.35878,-0.26718
19157,131,0,0,0,131,0,-0.04311,0.06706,9.96089,-0.69466,-0.35878,-0.32061
19277,131,0,0,0,131,0,-0.07425,0.01198,9.96089,-0.70992,-0.30534,-0.34351
19398,131,0,0,0,131,0,-0.07904,0.04790,9.95131,-0.62595,-0.40458,-0.22137
19518,131,0,0,0,131,0,-0.00479,0.02635,9.97765,-0.72519,-0.30534,-0.32061
19639,131,0,0,0,131,0,-0.06227,0.05509,9.95610,-0.62595,-0.54962,-0.33588
19759,131,0,0,0,131,0,-0.14849,0.02156,9.96089,-0.74046,-0.30534,-0.54962
19880,131,0,0,0,131,0,0.07425,0.06946,9.98244,-0.66412,-0.19847,-0.40458
20000,131,0,0,0,131,0,-0.15328,0.03593,9.97047,-0.72519,-0.50382,-0.38931
20121,131,0,0,0,131,0,-0.11257,-0.04311,9.96807,-0.78626,-0.32061,-0.67939
20241,131,0,0,0,131,0,0.02635,-0.00719,9.96568,-0.80916,-0.18321,-0.33588
20362,131,0,0,0,131,0,-0.16765,0.06467,9.96568,-0.70229,-0.35878,-0.22137
20483,131,0,0,0,131,0,0.00958,0.09580,9.93694,-0.68702,-0.28244,-0.45802
20603,131,0,0,0,131,0,0.02395,0.07664,9.97765,-0.70992,-0.56489,-0.17557
20724,131,0,0,0,131,0,-0.20837,0.05748,9.97526,-0.67176,-0.24427,-0.43511
20844,131,0,0,0,131,0,0.01916,0.07185,9.95849,-0.74046,-0.39695,-0.50382
20965,131,0,0,0,131,0,-0.08622,0.06227,9.97286,-0.61832,-0.39695,-0.20611
21085,131,0,0,0,131,0,-0.15089,-0.00958,9.95370,-0.69466,-0.30534,-0.70229
21206,131,0,0,0,131,0,0.05748,-0.04311,9.95610,-0.73282,-0.29771,-0.45802
21326,131,0,0,0,131,0,-0.10538,0.03832,9.97765,-0.62595,-0.42748,-0.09160
21447,131,0,0,0,131,0,-0.13412,0.08622,9.95849,-0.73282,-0.30534,-0.56489
21567,131,0,0,0,131,0,0.07185,0.08383,9.97286,-0.59542,-0.33588,-0.32824
21688,131,0,0,0,131,0,-0.14849,0.02635,9.93215,-0.72519,-0.42748,-0.03053
21809,131,0,0,0,131,0,-0.13652,0.05030,9.99442,-0.55725,-0.57252,-0.77863
21929,131,0,0,0,131,0,0.13652,0.04551,9.96328,-0.70992,-0.36641,-0.64885
22050,131,0,0,0,131,0,-0.05269,0.03593,9.95610,-0.70229,-0.29771,-0.10687
22170,131,0,0,0,131,0,-0.20837,-0.01198,9.93933,-0.62595,-0.30534,-0.70992
22291,131,0,0,0,131,0,0.11257,0.07664,9.95370,-0.68702,-0.34351,-0.55725
22411,131,0,0,0,131,0,-0.08143,0.04311,9.95370,-0.70229,-0.30534,-0.02290
22532,131,0,0,0,131,0,-0.17723,-0.00479,9.94412,-0.60305,-0.22901,-0.54198
22652,131,0,0,0,131,0,0.08862,0.02635,9.96089,-0.72519,-0.46565,-0.16031
22773,131,0,0,0,131,0,-0.06946,0.03832,9.92975,-0.62595,-0.32061,0.00763
22893,131,0,0,0,131,0,-0.16526,0.02395,9.96089,-0.83206,-0.37405,-0.62595
23014,131,0,0,0,131,0,0.05509,0.02635,9.96807,-0.54198,-0.45802,-0.53435
23134,131,0,0,0,131,0,-0.08143,0.03832,9.95849,-0.80916,-0.19847,-0.19847
23255,131,0,0,0,131,0,-0.10778,0.01916,9.96328,-0.60305,-0.25954,-0.51908
23376,131,0,0,0,131,0,0.04072,0.05509,9.96807,-0.73282,-0.35115,-0.46565
23496,131,0,0,0,131,0,-0.08622,0.03353,9.96328,-0.62595,-0.47328,-0.16794
23617,131,0,0,0,131,0,-0.11496,0.04072,9.98005,-0.76336,-0.32061,-0.58015
23737,131,0,0,0,131,0,0.04311,0.01677,9.94891,-0.64122,-0.23664,-0.44275
23858,131,0,0,0,131,0,-0.03832,0.01677,9.97286,-0.67939,-0.38168,-0.09160
23978,131,0,0,0,131,0,-0.09341,0.03353,9.96568,-0.74046,-0.31298,-0.48855
24099,131,0,0,0,131,0,-0.00719,0.04311,9.96568,-0.72519,-0.34351,-0.33588
24219,131,0,0,0,131,0,-0.04790,0.03114,9.97286,-0.63359,-0.35115,-0.00763
24340,131,0,0,0,131,0,-0.09101,0.04072,9.95131,-0.78626,-0.36641,-0.30534
24460,131,0,0,0,131,0,-0.01437,0.06227,9.97047,-0.73282,-0.42748,-0.38931
24581,131,0,0,0,131,0,-0.06467,0.04311,9.98244,-0.52672,-0.32824,-0.36641
24701,131,0,0,0,131,0,-0.08383,0.05509,9.95849,-0.63359,-0.35115,-0.41985
24822,131,0,0,0,131,0,-0.00958,0.01677,9.95370,-0.74046,-0.43511,-0.38168
24943,131,0,0,0,131,0,-0.04072,0.04072,9.94891,-0.69466,-0.36641,-0.19084
25063,131,0,0,0,131,0,-0.08143,-0.00719,9.96568,-0.72519,-0.34351,-0.43511
25184,131,0,0,0,131,0,-0.02874,0.03832,9.98244,-0.70992,-0.35878,-0.35878
25304,131,0,0,0,131,0,-0.05030,0.04790,9.97047,-0.73282,-0.21374,-0.16031
25425,131,0,0,0,131,0,-0.07664,0.03353,9.98005,-0.74809,-0.27481,-0.44275
25545,131,0,0,0,131,0,-0.02156,0.05748,9.97047,-0.70992,-0.41221,-0.35878
25666,131,0,0,0,131,0,-0.06946,0.04072,9.98484,-0.69466,-0.31298,-0.16794
25786,131,0,0,0,131,0,-0.05269,0.06467,9.96089,-0.66412,-0.32824,-0.28244
25907,131,0,0,0,131,0,-0.01437,0.04072,9.95849,-0.75573,-0.18321,-0.30534
26027,131,0,0,0,131,0,-0.03114,0.01677,9.94173,-0.64885,-0.37405,-0.33588
26148,131,0,0,0,131,0,-0.09820,0.03593,9.96568,-0.71756,-0.37405,-0.46565
26269,131,0,0,0,131,0,-0.03593,-0.01198,9.97047,-0.71756,-0.45802,-0.40458
26389,131,0,0,0,131,0,-0.06946,0.04072,9.94652,-0.76336,-0.45038,-0.29008
26510,131,0,0,0,131,0,-0.07664,0.02395,9.96328,-0.66412,-0.35115,-0.39695
26630,131,0,0,0,131,0,-0.06467,0.01198,9.97765,-0.64122,-0.23664,-0.51145
26751,131,0,0,0,131,0,-0.00958,0.03114,9.97765,-0.75573,-0.35115,-0.16031
26871,131,0,0,0,131,0,-0.05030,0.00000,9.97047,-0.54198,-0.38931,-0.48092
26992,131,0,0,0,131,0,-0.02635,0.01916,9.96328,-0.67939,-0.19084,-0.42748
27112,131,0,0,0,131,0,-0.03353,0.00479,9.95131,-0.64885,-0.19847,-0.32061
27233,131,0,0,0,131,0,-0.05988,-0.00719,9.96328,-0.67176,-0.35115,-0.27481
27353,131,0,0,0,131,0,-0.04790,0.04311,9.93933,-0.72519,-0.48855,-0.35878
27474,131,0,0,0,131,0,-0.01198,0.01198,9.94412,-0.68702,-0.41221,-0.27481
27594,131,0,0,0,131,0,-0.05748,0.04072,9.95849,-0.63359,-0.37405,-0.28244
27715,131,0,0,0,131,0,-0.04311,0.03832,9.97047,-0.72519,-0.23664,-0.33588
27836,131,0,0,0,131,0,-0.02156,0.05030,9.96328,-0.66412,-0.32061,-0.35878
